village,state,district,date,report_time,patient_age_group,patient_gender,diarrhea_cases,fever_cases,vomiting_cases,stomach_pain_cases,dehydration_cases,nausea_cases,headache_cases,weakness_cases,asha_worker_id,clinic_reports,villager_self_reports,total_population,households_affected,severity_level
Dharmanagar Rural,Tripura,Tripura_District_2,2023-05-16,2023-03-28 08:15:00,0-5,Male,5,2,5,4,3,0,0,2,ASHA_9576,4,0,4821,31,Mild
Kiphire Village,Nagaland,Nagaland_District_2,2023-08-13,2023-04-29 06:07:00,6-18,Female,3,5,4,2,2,1,3,1,ASHA_8190,3,4,3867,25,Mild
Pakyong Village,Sikkim,Sikkim_District_2,2023-04-30,2023-04-15 10:00:00,6-18,Female,5,8,1,2,1,1,2,3,ASHA_8298,1,1,1883,24,Moderate
Senapati Rural,Manipur,Manipur_District_2,2023-12-31,2023-10-23 16:28:00,60+,Male,6,3,7,2,2,1,2,2,ASHA_3675,3,4,4856,30,Mild
Guwahati Rural,Assam,Assam_District_2,2023-12-16,2023-11-04 07:23:00,6-18,Female,5,1,7,2,4,6,0,1,ASHA_5651,4,2,2860,29,Severe
Tura Village,Meghalaya,Meghalaya_District_3,2023-07-09,2023-07-03 07:07:00,6-18,Male,7,10,2,5,2,0,5,5,ASHA_2596,2,4,2731,33,Mild
Lawngtlai Village,Mizoram,Mizoram_District_3,2023-04-30,2023-02-15 16:11:00,6-18,Male,7,5,2,3,3,1,1,2,ASHA_5108,1,4,1679,23,Moderate
Bishnupur Rural,Manipur,Manipur_District_3,2023-12-06,2023-09-13 09:02:00,0-5,Male,10,0,1,9,7,2,1,6,ASHA_1365,3,3,2485,30,Moderate
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_1,2024-03-15,2023-11-21 15:53:00,0-5,Female,0,4,2,0,1,2,1,1,ASHA_3325,3,2,4512,14,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-03-29,2023-01-27 11:26:00,6-18,Female,6,1,7,4,3,1,1,2,ASHA_8954,4,4,4425,23,Mild
Agartala Rural,Tripura,Tripura_District_1,2023-10-13,2023-09-04 14:13:00,19-60,Male,2,5,11,2,4,6,2,3,ASHA_4169,4,7,3132,26,Moderate
Jowai Rural,Meghalaya,Meghalaya_District_3,2023-07-13,2023-04-02 17:14:00,19-60,Male,1,4,3,2,1,0,1,2,ASHA_9997,3,7,1792,16,Moderate
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-11-30,2023-10-31 19:35:00,6-18,Male,0,1,1,2,1,1,2,1,ASHA_9178,3,1,2408,9,Mild
Tezpur Rural,Assam,Assam_District_2,2023-12-26,2023-10-05 08:13:00,19-60,Female,2,1,3,3,1,0,0,2,ASHA_4333,1,3,2654,19,Mild
Phek Rural,Nagaland,Nagaland_District_3,2023-09-16,2023-05-26 08:02:00,0-5,Male,3,4,0,1,2,2,3,3,ASHA_8834,0,3,4008,22,Moderate
Tamenglong Rural,Manipur,Manipur_District_2,2023-09-05,2023-09-04 13:36:00,0-5,Female,7,9,0,4,4,2,6,7,ASHA_5225,4,7,4856,26,Moderate
Saitual Rural,Mizoram,Mizoram_District_3,2023-05-08,2023-01-17 09:12:00,19-60,Male,1,3,1,0,1,1,3,1,ASHA_7516,4,5,1143,23,Mild
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-12-30,2023-12-05 12:28:00,19-60,Female,4,1,7,1,2,1,2,2,ASHA_9679,1,4,2135,23,Mild
Bishnupur Rural,Manipur,Manipur_District_3,2023-10-18,2023-08-21 18:59:00,19-60,Female,7,9,7,4,4,2,2,5,ASHA_3733,4,6,1122,34,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-04-25,2023-03-25 15:35:00,19-60,Male,6,3,1,3,1,0,1,1,ASHA_1732,0,0,4874,15,Moderate
Hnahthial Village,Mizoram,Mizoram_District_2,2023-03-16,2023-02-26 17:35:00,19-60,Female,1,5,1,0,0,1,0,0,ASHA_6608,0,0,875,25,Mild
Lawngtlai Village,Mizoram,Mizoram_District_1,2024-02-20,2023-11-28 18:30:00,19-60,Male,5,3,0,3,2,0,1,2,ASHA_3518,0,5,3129,14,Moderate
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-07-30,2023-06-02 14:05:00,0-5,Female,3,12,3,1,2,2,9,7,ASHA_1258,2,7,3827,24,Moderate
Guwahati Rural,Assam,Assam_District_1,2024-01-02,2023-11-02 06:50:00,19-60,Female,0,6,3,2,2,1,0,1,ASHA_5918,4,1,2661,27,Moderate
Nongpoh Village,Meghalaya,Meghalaya_District_1,2023-11-19,2023-09-22 10:00:00,0-5,Male,6,5,5,8,3,1,2,4,ASHA_5101,2,1,1479,28,Moderate
Baghmara Rural,Meghalaya,Meghalaya_District_3,2023-04-26,2023-01-27 09:00:00,0-5,Male,2,1,4,3,2,0,2,1,ASHA_9921,2,3,1255,12,Mild
Nagaon Rural,Assam,Assam_District_2,2024-02-04,2023-10-12 07:47:00,6-18,Female,5,2,2,2,2,1,1,1,ASHA_3602,4,4,4711,20,Severe
Shillong Rural,Meghalaya,Meghalaya_District_1,2023-11-03,2023-09-02 14:56:00,60+,Female,7,0,5,6,4,2,2,3,ASHA_2620,3,5,1848,25,Moderate
Thoubal Village,Manipur,Manipur_District_1,2024-01-03,2023-12-15 08:58:00,6-18,Male,3,6,0,1,0,0,2,2,ASHA_8678,0,4,4623,13,Mild
Namchi Village,Sikkim,Sikkim_District_2,2023-07-05,2023-05-27 11:15:00,0-5,Male,2,7,5,6,3,3,3,4,ASHA_7909,2,1,4812,30,Mild
Wokha Rural,Nagaland,Nagaland_District_2,2023-10-17,2023-08-18 06:29:00,6-18,Male,1,4,0,0,0,0,0,0,ASHA_8336,4,0,4295,19,Moderate
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-09-15,2023-09-02 17:22:00,6-18,Female,9,7,6,4,6,3,2,5,ASHA_6242,3,0,1750,26,Mild
Karimganj Village,Assam,Assam_District_1,2023-07-22,2023-06-24 11:25:00,0-5,Male,6,9,4,3,2,1,3,3,ASHA_1598,4,7,2267,32,Mild
Tura Village,Meghalaya,Meghalaya_District_2,2023-11-16,2023-10-22 08:27:00,6-18,Male,0,2,5,0,1,4,1,0,ASHA_8825,2,2,1703,14,Moderate
Mangan Village,Sikkim,Sikkim_District_1,2023-11-26,2023-08-02 15:38:00,0-5,Female,8,4,9,5,7,5,3,5,ASHA_8883,1,2,2506,36,Mild
Aizawl Rural,Mizoram,Mizoram_District_2,2023-10-16,2023-08-29 19:17:00,6-18,Female,4,10,2,2,3,5,4,3,ASHA_4311,4,7,1487,26,Moderate
Wokha Rural,Nagaland,Nagaland_District_2,2023-11-25,2023-08-12 09:25:00,19-60,Male,8,4,5,4,6,5,6,5,ASHA_6373,2,1,1485,24,Mild
Bishnupur Rural,Manipur,Manipur_District_2,2023-06-28,2023-04-23 06:35:00,6-18,Male,8,2,3,5,5,2,3,5,ASHA_7508,3,3,4712,25,Mild
Namchi Village,Sikkim,Sikkim_District_1,2023-10-06,2023-08-06 08:20:00,19-60,Female,9,4,0,9,7,1,3,6,ASHA_6060,3,5,1586,24,Moderate
Namchi Village,Sikkim,Sikkim_District_2,2023-07-31,2023-04-10 18:48:00,19-60,Male,7,5,1,0,0,0,0,0,ASHA_5767,1,3,2154,22,Mild
Saitual Rural,Mizoram,Mizoram_District_3,2023-09-22,2023-07-01 13:19:00,6-18,Male,0,6,5,2,2,3,4,2,ASHA_2758,3,1,4420,29,Moderate
Bishnupur Rural,Manipur,Manipur_District_3,2023-04-20,2023-03-22 06:50:00,0-5,Female,0,3,5,1,1,1,0,1,ASHA_1256,4,0,1976,22,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_3,2023-04-17,2023-03-14 06:23:00,19-60,Male,2,2,5,2,3,3,2,3,ASHA_2602,4,1,2320,20,Moderate
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-08-18,2023-05-30 19:07:00,6-18,Male,0,5,3,3,1,0,2,3,ASHA_5644,3,0,835,15,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-12-10,2023-12-09 15:41:00,19-60,Female,5,0,3,3,2,0,1,2,ASHA_8922,1,2,3068,21,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-06-23,2023-06-04 12:04:00,0-5,Male,13,5,2,8,7,1,3,6,ASHA_7619,4,4,4536,24,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-06-08,2023-05-30 19:07:00,6-18,Male,3,3,1,3,1,0,2,3,ASHA_5644,3,0,835,25,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-08-16,2023-05-23 08:32:00,19-60,Male,3,2,4,2,2,0,2,3,ASHA_2572,3,0,3200,13,Mild
Tamenglong Rural,Manipur,Manipur_District_1,2023-09-15,2023-07-24 14:37:00,0-5,Male,15,8,3,10,7,0,5,9,ASHA_1483,3,4,992,41,Mild
Nagaon Rural,Assam,Assam_District_2,2023-08-22,2023-08-20 13:41:00,0-5,Female,5,10,6,7,6,3,5,6,ASHA_9269,3,5,791,30,Moderate
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2024-01-26,2023-10-29 12:29:00,19-60,Female,0,1,0,2,1,0,1,0,ASHA_9174,2,1,4101,16,Mild
Teliamura Rural,Tripura,Tripura_District_3,2023-10-16,2023-07-29 13:25:00,19-60,Female,5,4,0,4,3,2,2,3,ASHA_1641,3,2,1755,18,Moderate
Tezpur Rural,Assam,Assam_District_2,2023-11-02,2023-08-08 13:11:00,0-5,Female,10,7,0,7,4,0,5,6,ASHA_3136,4,4,3081,21,Mild
Jowai Rural,Meghalaya,Meghalaya_District_2,2023-12-27,2023-12-07 12:12:00,0-5,Female,2,5,0,0,1,1,2,2,ASHA_5721,4,5,2119,26,Severe
Nongpoh Village,Meghalaya,Meghalaya_District_1,2023-11-26,2023-08-13 16:50:00,0-5,Male,5,3,5,4,3,0,2,5,ASHA_5294,2,7,2530,29,Mild
Pakyong Village,Sikkim,Sikkim_District_2,2023-03-11,2023-02-17 06:46:00,0-5,Female,4,4,4,1,2,3,3,2,ASHA_8028,4,6,3939,16,Mild
Kolasib Rural,Mizoram,Mizoram_District_2,2024-02-07,2023-12-01 13:07:00,0-5,Female,6,4,0,4,2,0,3,2,ASHA_7075,1,1,1760,14,Mild
Hnahthial Village,Mizoram,Mizoram_District_1,2023-05-10,2023-03-04 09:43:00,0-5,Male,6,3,1,5,3,1,0,2,ASHA_8727,3,6,972,22,Mild
Guwahati Rural,Assam,Assam_District_3,2023-10-28,2023-10-01 07:11:00,6-18,Male,2,3,7,0,3,4,0,1,ASHA_9514,4,3,995,31,Moderate
Mokokchung Rural,Nagaland,Nagaland_District_2,2023-07-08,2023-05-24 11:52:00,0-5,Male,4,0,0,1,1,1,1,1,ASHA_2364,3,5,2774,17,Mild
Nagaon Rural,Assam,Assam_District_2,2023-11-08,2023-11-01 15:25:00,0-5,Male,1,4,0,2,1,0,1,1,ASHA_4358,1,1,4463,9,Moderate
Dharmanagar Rural,Tripura,Tripura_District_2,2023-07-08,2023-05-12 06:53:00,0-5,Male,5,5,2,3,2,1,2,2,ASHA_3513,4,6,4829,27,Mild
Phek Rural,Nagaland,Nagaland_District_2,2024-01-19,2023-10-30 13:13:00,19-60,Male,0,3,1,0,0,0,3,1,ASHA_4613,1,5,1989,14,Mild
Belonia Rural,Tripura,Tripura_District_2,2023-08-19,2023-07-13 09:36:00,19-60,Male,5,0,6,5,4,4,0,2,ASHA_9571,1,3,3584,25,Mild
Belonia Rural,Tripura,Tripura_District_2,2023-07-09,2023-05-06 07:27:00,0-5,Male,4,1,6,1,1,1,1,1,ASHA_6736,0,4,3253,20,Mild
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2024-01-23,2023-10-01 09:37:00,0-5,Male,3,10,6,5,3,2,6,4,ASHA_1394,4,2,2142,23,Mild
Williamnagar Village,Meghalaya,Meghalaya_District_1,2023-05-14,2023-04-16 19:22:00,0-5,Female,8,0,2,4,3,1,0,2,ASHA_7669,0,2,4653,14,Severe
Jiribam Village,Manipur,Manipur_District_1,2023-03-07,2023-01-31 16:56:00,6-18,Male,6,3,3,1,1,0,3,2,ASHA_9895,4,1,4118,26,Moderate
Amarpur Village,Tripura,Tripura_District_1,2023-05-24,2023-05-09 07:49:00,19-60,Male,5,3,0,3,1,0,1,2,ASHA_8179,3,3,1089,22,Mild
Gangtok Rural,Sikkim,Sikkim_District_2,2023-07-27,2023-05-23 18:13:00,0-5,Female,2,6,0,2,2,2,1,1,ASHA_3447,2,4,2172,17,Mild
Imphal Rural,Manipur,Manipur_District_3,2023-04-16,2023-03-22 09:57:00,0-5,Male,2,4,2,4,3,2,1,2,ASHA_6701,3,2,1334,13,Mild
Dharmanagar Rural,Tripura,Tripura_District_1,2023-07-08,2023-03-28 06:22:00,19-60,Male,4,1,1,0,1,1,5,2,ASHA_3301,0,2,4674,22,Mild
Resubelpara Rural,Meghalaya,Meghalaya_District_2,2023-06-05,2023-05-01 08:29:00,6-18,Female,7,9,4,4,4,3,2,4,ASHA_9846,2,2,4367,26,Moderate
Serchhip Village,Mizoram,Mizoram_District_2,2023-10-15,2023-07-27 19:56:00,19-60,Female,0,12,7,0,3,5,7,3,ASHA_4027,1,4,3328,26,Moderate
Jorhat Village,Assam,Assam_District_1,2023-12-12,2023-11-19 08:16:00,6-18,Female,4,0,2,1,1,1,2,0,ASHA_8378,2,0,2777,17,Moderate
Senapati Rural,Manipur,Manipur_District_1,2023-06-28,2023-05-20 06:46:00,0-5,Male,4,0,3,4,3,0,1,3,ASHA_4006,2,2,2260,22,Mild
Silchar Village,Assam,Assam_District_2,2023-08-13,2023-07-23 18:59:00,6-18,Male,8,6,7,5,4,1,3,5,ASHA_5934,1,4,1447,40,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_3,2023-04-26,2023-02-19 10:51:00,19-60,Male,4,4,0,3,2,1,0,1,ASHA_7030,4,6,3252,22,Mild
Zunheboto Village,Nagaland,Nagaland_District_1,2023-11-07,2023-11-03 11:12:00,19-60,Female,1,6,0,1,1,0,3,2,ASHA_1961,1,1,1362,26,Mild
Wokha Rural,Nagaland,Nagaland_District_1,2023-11-06,2023-10-27 18:32:00,6-18,Female,9,1,8,6,9,7,1,4,ASHA_8977,0,2,1055,32,Moderate
Jorhat Village,Assam,Assam_District_3,2023-09-19,2023-07-21 09:13:00,0-5,Male,3,13,5,0,1,1,5,3,ASHA_1081,3,3,1145,38,Mild
Barpeta Village,Assam,Assam_District_1,2024-01-12,2023-11-08 08:04:00,0-5,Female,4,2,1,3,1,0,5,3,ASHA_5966,0,2,3604,13,Mild
Gangtok Rural,Sikkim,Sikkim_District_1,2023-07-12,2023-06-02 12:56:00,19-60,Female,9,5,5,4,4,3,2,4,ASHA_6162,2,7,3495,23,Mild
Ukhrul Village,Manipur,Manipur_District_3,2023-12-04,2023-10-13 06:50:00,60+,Female,4,2,4,1,1,0,3,1,ASHA_1697,1,2,1292,24,Mild
Dibrugarh Rural,Assam,Assam_District_1,2023-05-03,2023-03-14 12:06:00,60+,Male,7,4,3,6,3,1,1,3,ASHA_3882,1,1,1221,33,Mild
Kolasib Rural,Mizoram,Mizoram_District_1,2024-03-16,2023-12-16 14:01:00,60+,Male,0,8,2,1,1,1,2,2,ASHA_3549,3,5,2198,25,Severe
Amarpur Village,Tripura,Tripura_District_1,2023-07-20,2023-05-27 19:01:00,6-18,Female,0,3,1,1,1,1,0,0,ASHA_6996,1,3,1137,13,Severe
Silchar Village,Assam,Assam_District_3,2024-03-31,2023-12-21 09:49:00,19-60,Female,5,1,3,1,1,0,2,2,ASHA_5930,3,3,1534,20,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-07-29,2023-07-03 10:38:00,19-60,Male,5,3,3,5,4,3,0,3,ASHA_5423,1,6,2271,16,Mild
Mokokchung Rural,Nagaland,Nagaland_District_2,2023-09-24,2023-08-31 11:29:00,6-18,Female,5,10,1,3,2,0,7,5,ASHA_6911,2,4,3139,25,Moderate
Namchi Village,Sikkim,Sikkim_District_2,2023-05-29,2023-04-10 18:48:00,19-60,Male,2,0,1,0,0,0,0,0,ASHA_5767,1,3,2154,17,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-11-19,2023-11-09 18:21:00,0-5,Female,5,0,4,0,1,0,2,1,ASHA_7103,1,6,839,15,Mild
Kailashahar Village,Tripura,Tripura_District_1,2023-06-03,2023-03-15 06:11:00,0-5,Female,3,5,3,2,2,1,1,2,ASHA_3757,2,5,2621,22,Mild
Belonia Rural,Tripura,Tripura_District_3,2023-06-01,2023-04-15 19:35:00,19-60,Female,2,2,5,3,2,1,0,1,ASHA_7586,0,4,606,17,Moderate
Jorhat Village,Assam,Assam_District_1,2023-07-18,2023-06-04 06:08:00,0-5,Female,5,2,12,5,7,7,2,4,ASHA_7729,4,5,2872,30,Mild
Karimganj Village,Assam,Assam_District_1,2023-07-20,2023-05-17 07:59:00,6-18,Female,5,2,3,2,2,0,0,2,ASHA_2128,4,1,3447,26,Severe
Zunheboto Village,Nagaland,Nagaland_District_3,2023-08-25,2023-08-15 12:07:00,6-18,Male,3,6,6,3,4,5,2,3,ASHA_7523,3,0,685,33,Mild
Dharmanagar Rural,Tripura,Tripura_District_1,2023-05-12,2023-03-28 06:22:00,19-60,Male,4,4,4,0,1,1,5,2,ASHA_3301,0,2,4674,22,Mild
Dibrugarh Rural,Assam,Assam_District_3,2023-12-27,2023-09-02 17:43:00,19-60,Female,0,5,2,1,0,0,6,3,ASHA_7693,2,0,2146,24,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_2,2023-05-03,2023-02-17 12:19:00,19-60,Female,9,6,7,5,4,1,2,3,ASHA_5180,0,1,2256,37,Mild
Agartala Rural,Tripura,Tripura_District_3,2023-10-04,2023-07-27 09:46:00,0-5,Male,9,7,2,4,3,1,3,5,ASHA_9057,0,7,4423,36,Moderate
Roing Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-03-18,2023-01-16 11:02:00,19-60,Female,4,0,4,2,2,0,1,1,ASHA_8742,1,7,4617,23,Moderate
Khliehriat Village,Meghalaya,Meghalaya_District_2,2023-10-17,2023-08-22 17:32:00,0-5,Male,5,7,10,2,6,10,4,4,ASHA_5855,2,6,4051,34,Mild
Kailashahar Village,Tripura,Tripura_District_3,2024-01-09,2023-09-19 15:55:00,19-60,Female,10,4,4,4,4,1,1,4,ASHA_2387,3,1,4908,32,Severe
Kailashahar Village,Tripura,Tripura_District_1,2023-05-09,2023-01-18 08:43:00,6-18,Female,4,1,2,0,1,0,2,1,ASHA_5444,2,1,2676,16,Mild
Singtam Village,Sikkim,Sikkim_District_3,2023-06-22,2023-05-04 12:02:00,0-5,Male,6,4,3,3,3,0,4,3,ASHA_7775,1,0,2209,27,Mild
Agartala Rural,Tripura,Tripura_District_2,2023-05-02,2023-01-11 12:52:00,19-60,Male,4,3,2,2,1,0,3,3,ASHA_3355,1,7,4304,24,Mild
Amarpur Village,Tripura,Tripura_District_2,2023-09-19,2023-09-09 09:04:00,6-18,Female,10,14,12,8,10,7,9,11,ASHA_8344,0,5,4397,49,Severe
Belonia Rural,Tripura,Tripura_District_1,2023-07-19,2023-06-10 16:51:00,19-60,Male,4,5,6,3,4,4,4,5,ASHA_7530,4,0,4962,20,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_2,2023-12-16,2023-11-10 18:44:00,0-5,Male,3,1,0,0,0,0,2,1,ASHA_6322,1,2,1985,16,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2024-01-02,2023-10-11 07:30:00,19-60,Male,9,7,0,7,3,0,2,3,ASHA_4866,1,6,2596,31,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-05-06,2023-02-22 10:52:00,6-18,Male,3,5,0,6,2,1,3,3,ASHA_8063,3,5,1914,15,Mild
Gyalshing Rural,Sikkim,Sikkim_District_3,2023-12-25,2023-10-29 15:26:00,19-60,Male,6,4,6,3,3,1,2,3,ASHA_1923,1,2,2794,32,Mild
Namchi Village,Sikkim,Sikkim_District_2,2023-04-06,2023-03-06 16:39:00,0-5,Male,0,0,0,1,1,1,1,1,ASHA_6497,3,2,2594,17,Mild
Rangpo Rural,Sikkim,Sikkim_District_1,2023-03-08,2023-01-06 18:18:00,6-18,Female,1,1,3,0,0,0,2,1,ASHA_5242,1,6,1909,17,Mild
Lunglei Village,Mizoram,Mizoram_District_3,2023-05-24,2023-04-21 15:36:00,6-18,Female,8,2,7,4,4,3,1,2,ASHA_7227,4,6,2309,36,Mild
Kohima Rural,Nagaland,Nagaland_District_3,2023-10-27,2023-08-28 08:51:00,0-5,Male,3,4,2,1,1,0,4,2,ASHA_1745,3,7,2147,26,Moderate
Lunglei Village,Mizoram,Mizoram_District_2,2023-12-28,2023-11-17 12:18:00,19-60,Male,8,1,2,4,3,0,6,4,ASHA_3117,1,0,631,22,Moderate
Khliehriat Village,Meghalaya,Meghalaya_District_1,2024-02-17,2023-11-03 12:40:00,6-18,Female,0,1,0,3,1,1,0,1,ASHA_6662,1,6,1483,19,Mild
Pakyong Village,Sikkim,Sikkim_District_1,2023-11-08,2023-08-11 06:42:00,6-18,Male,5,11,6,3,6,5,6,6,ASHA_5747,0,0,2166,40,Mild
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-06-29,2023-06-08 07:55:00,6-18,Male,8,8,11,5,7,5,4,5,ASHA_2022,3,1,1768,32,Moderate
Phek Rural,Nagaland,Nagaland_District_2,2023-05-19,2023-01-27 11:10:00,60+,Male,3,1,2,3,1,1,1,1,ASHA_8837,4,0,2930,25,Mild
Bishnupur Rural,Manipur,Manipur_District_2,2023-10-16,2023-07-29 12:58:00,19-60,Male,3,0,9,1,3,5,1,1,ASHA_7532,3,6,1006,16,Mild
Wokha Rural,Nagaland,Nagaland_District_3,2023-08-28,2023-07-17 12:21:00,6-18,Female,15,4,8,10,9,4,3,8,ASHA_6410,0,3,3842,38,Moderate
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-12-17,2023-10-14 14:42:00,60+,Male,5,2,0,4,2,2,4,3,ASHA_5674,1,5,4184,26,Mild
Serchhip Village,Mizoram,Mizoram_District_1,2023-10-04,2023-09-10 14:39:00,19-60,Male,2,4,4,5,3,1,3,3,ASHA_4138,2,2,2753,25,Severe
Nongpoh Village,Meghalaya,Meghalaya_District_2,2023-03-03,2023-02-25 14:01:00,6-18,Male,2,0,4,0,1,1,4,2,ASHA_1124,1,4,1536,14,Moderate
Dibrugarh Rural,Assam,Assam_District_2,2024-02-12,2023-12-23 16:06:00,60+,Male,1,4,0,2,1,0,3,2,ASHA_5415,3,6,2245,19,Moderate
Aizawl Rural,Mizoram,Mizoram_District_1,2024-01-13,2023-10-11 14:10:00,6-18,Female,6,8,1,8,4,0,4,5,ASHA_2570,4,6,3882,22,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_2,2023-04-24,2023-03-13 08:00:00,19-60,Male,2,2,4,3,3,3,1,2,ASHA_8845,1,2,4613,15,Mild
Jowai Rural,Meghalaya,Meghalaya_District_1,2023-07-25,2023-06-09 19:44:00,0-5,Female,9,5,7,5,6,5,1,3,ASHA_4286,2,3,2775,39,Mild
Jowai Rural,Meghalaya,Meghalaya_District_2,2023-12-31,2023-09-04 07:14:00,0-5,Male,3,3,3,4,2,2,2,3,ASHA_3214,1,2,2869,13,Moderate
Serchhip Village,Mizoram,Mizoram_District_1,2024-01-06,2023-09-10 14:39:00,19-60,Male,6,0,3,5,3,1,3,3,ASHA_4138,2,2,2753,28,Severe
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-11-17,2023-09-22 17:11:00,19-60,Male,0,4,5,1,0,0,0,0,ASHA_1283,4,5,4756,20,Mild
Silchar Village,Assam,Assam_District_1,2023-10-22,2023-10-16 17:18:00,0-5,Male,2,1,0,3,3,0,0,2,ASHA_8577,2,4,3701,8,Moderate
Gyalshing Rural,Sikkim,Sikkim_District_3,2024-01-29,2023-11-09 08:21:00,19-60,Female,5,1,2,1,1,0,1,1,ASHA_7004,2,0,2155,24,Mild
Nagaon Rural,Assam,Assam_District_2,2024-02-18,2023-11-24 19:08:00,6-18,Male,2,3,0,3,2,2,3,3,ASHA_7718,3,1,3018,9,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_2,2023-06-27,2023-03-10 09:03:00,19-60,Male,4,4,0,5,1,0,1,2,ASHA_7323,4,4,3504,17,Mild
Pakyong Village,Sikkim,Sikkim_District_3,2023-05-08,2023-01-15 08:02:00,6-18,Female,1,1,0,2,0,1,2,1,ASHA_2823,2,0,1641,9,Mild
Rangpo Rural,Sikkim,Sikkim_District_2,2023-05-14,2023-02-28 16:21:00,0-5,Female,5,7,6,2,3,3,2,3,ASHA_6777,2,6,3877,34,Severe
Zunheboto Village,Nagaland,Nagaland_District_3,2023-11-28,2023-11-15 10:54:00,6-18,Male,1,11,4,1,1,1,5,2,ASHA_2757,3,7,3974,26,Moderate
Hnahthial Village,Mizoram,Mizoram_District_3,2023-07-29,2023-06-29 07:21:00,0-5,Male,2,7,4,5,3,1,2,4,ASHA_5174,1,7,2198,27,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-04-21,2023-01-25 14:59:00,0-5,Male,0,5,7,1,1,2,2,2,ASHA_6634,2,0,1340,17,Moderate
Namchi Village,Sikkim,Sikkim_District_2,2023-11-17,2023-09-05 15:38:00,19-60,Female,2,4,4,3,1,0,4,4,ASHA_3836,1,7,689,25,Mild
Gyalshing Rural,Sikkim,Sikkim_District_1,2023-11-16,2023-09-25 15:41:00,0-5,Male,2,2,7,2,3,4,2,3,ASHA_5988,1,2,4466,26,Severe
Tura Village,Meghalaya,Meghalaya_District_3,2023-05-06,2023-03-19 07:54:00,19-60,Male,6,8,1,2,2,1,2,3,ASHA_1968,3,1,4550,23,Moderate
Bishnupur Rural,Manipur,Manipur_District_3,2023-06-16,2023-03-23 09:43:00,19-60,Male,1,0,4,1,2,2,0,1,ASHA_5174,2,0,1959,23,Severe
Agartala Rural,Tripura,Tripura_District_3,2023-09-17,2023-07-28 16:40:00,0-5,Female,8,2,12,4,9,9,1,4,ASHA_8365,0,7,978,33,Mild
Mokokchung Rural,Nagaland,Nagaland_District_3,2023-02-14,2023-01-26 14:41:00,0-5,Male,6,4,2,3,3,4,2,2,ASHA_6929,4,7,4782,26,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-07-29,2023-04-03 18:51:00,6-18,Male,11,7,3,5,6,3,1,4,ASHA_9519,2,5,1768,27,Mild
Teliamura Rural,Tripura,Tripura_District_2,2023-12-01,2023-10-20 15:36:00,6-18,Female,2,2,0,1,1,0,1,1,ASHA_4939,2,0,3811,22,Severe
Nongpoh Village,Meghalaya,Meghalaya_District_1,2023-10-19,2023-09-15 15:40:00,19-60,Female,7,5,1,5,2,1,2,4,ASHA_7074,3,7,2485,20,Moderate
Mangan Village,Sikkim,Sikkim_District_2,2023-11-12,2023-11-03 14:21:00,19-60,Male,5,2,4,2,3,1,0,2,ASHA_1751,1,5,3579,25,Mild
Tura Village,Meghalaya,Meghalaya_District_1,2023-10-02,2023-08-07 10:34:00,19-60,Male,4,13,0,3,1,2,8,6,ASHA_9641,2,6,1369,22,Moderate
