village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Churachandpur Village,Manipur,2023-05-22,WS_95074,Well,28.69754,95.013705,6.0,63.977,259.686,2314.0,2.2,86.9,12.44,0.46,1.28,1.02,0.022,Water Testing Kit,Agency_9,0,High,60.0
Ziro Village,Arunachal Pradesh,2023-05-15,WS_10352,Piped Supply,24.333856,90.949043,6.09,97.703,2189.549,2852.0,3.9,118.8,24.73,1.78,0.11,1.4,0.006,IoT Sensor,Agency_4,0,High,
Udaipur Village,Tripura,2023-12-13,WS_50299,River,24.162441,96.226913,5.3,105.715,967.067,3653.0,3.0,180.3,11.69,0.21,0.38,0.79,0.038,Lab Analysis,Agency_6,0,High,
Tezpur Rural,Assam,2023-03-29,WS_82763,Piped Supply,28.135897,88.903136,5.71,33.988,2169.601,3750.0,1.5,163.5,20.8,1.86,1.72,0.75,0.033,Water Testing Kit,Agency_7,0,High,
Tuensang Village,Nagaland,2023-12-13,WS_31611,Pond,27.09123,96.088176,8.47,6.242,41.084,25.0,8.8,38.3,2.62,0.01,0.2,0.48,0.018,Lab Analysis,Agency_9,0,Safe,
Lunglei Village,Mizoram,2023-08-03,WS_89746,River,27.905308,88.233132,7.28,7.189,29.956,41.0,8.2,5.6,2.78,0.025,1.62,1.18,0.046,Water Testing Kit,Agency_2,0,Safe,
Wokha Rural,Nagaland,2023-02-22,WS_34656,Pond,23.151866,89.520147,6.83,6.695,64.79,62.0,7.0,1.6,2.04,0.05,0.14,0.29,0.027,Lab Analysis,Agency_6,0,Safe,
Tezpur Village,Arunachal Pradesh,2023-05-03,WS_54435,River,28.324456,93.49941,6.96,2.313,68.547,30.0,7.5,37.3,0.01,0.014,1.88,0.84,0.025,Water Testing Kit,Agency_9,1,Safe,
Agartala Rural,Tripura,2024-02-05,WS_94292,Well,26.542824,94.635281,8.79,7.444,28.024,9.0,6.2,39.9,0.46,0.033,0.12,1.2,0.023,Water Testing Kit,Agency_1,0,Safe,32.0
Pakyong Village,Sikkim,2023-02-12,WS_76457,Pond,28.502166,94.810948,7.52,3.101,60.886,62.0,6.2,38.2,0.45,0.023,1.24,0.18,0.041,Lab Analysis,Agency_8,1,Safe,
Serchhip Village,Mizoram,2023-07-23,WS_48253,Tube Well,28.528333,91.065554,8.22,5.528,16.18,87.0,8.2,17.9,2.53,0.0,1.32,0.93,0.024,Water Testing Kit,Agency_6,0,Safe,197.0
Mangan Village,Sikkim,2023-09-23,WS_32295,Spring,24.796468,96.555186,7.59,4.383,13.664,24.0,5.9,40.1,2.75,0.016,0.27,0.2,0.039,Water Testing Kit,Agency_3,1,Safe,
Silchar Village,Assam,2023-05-30,WS_93708,River,23.204067,92.783528,5.9,108.082,2754.731,588.0,3.6,139.0,9.31,0.67,1.17,0.38,0.047,Water Testing Kit,Agency_3,0,High,
Mokokchung Rural,Nagaland,2023-05-10,WS_67427,River,25.24159,88.271535,8.77,6.208,36.205,19.0,6.5,35.3,2.89,0.03,0.0,1.34,0.037,Water Testing Kit,Agency_3,0,Safe,
Churachandpur Village,Manipur,2023-10-13,WS_25437,River,24.063858,93.219115,5.3,23.41,1986.72,4423.0,1.4,77.8,5.59,0.52,0.44,1.02,0.023,IoT Sensor,Agency_9,0,High,
Ziro Village,Arunachal Pradesh,2024-02-13,WS_97611,Well,24.100376,89.376599,6.83,3.538,25.874,29.0,6.0,27.7,2.48,0.025,0.71,0.96,0.034,Water Testing Kit,Agency_2,1,Safe,41.0
Lunglei Village,Mizoram,2023-04-09,WS_10461,Pond,26.162395,96.44857,5.3,29.369,2285.973,3615.0,3.9,116.1,22.58,1.65,0.55,0.48,0.0,Lab Analysis,Agency_8,0,High,
Pasighat Rural,Arunachal Pradesh,2024-02-04,WS_14929,Piped Supply,23.523298,92.229141,7.93,2.918,42.289,66.0,7.3,35.4,0.16,0.032,0.51,1.16,0.025,Water Testing Kit,Agency_9,1,Safe,
Williamnagar Village,Meghalaya,2023-10-16,WS_97364,Piped Supply,27.917116,95.210079,7.91,8.846,74.098,19.0,8.6,13.1,0.79,0.011,0.57,0.45,0.049,Water Testing Kit,Agency_1,0,Safe,
Baghmara Rural,Meghalaya,2023-07-04,WS_39824,River,23.387805,94.372198,5.77,85.409,2138.207,2102.0,3.7,179.5,19.51,1.51,1.08,1.45,0.006,Water Testing Kit,Agency_6,0,High,
Aizawl Rural,Mizoram,2024-01-04,WS_19688,River,24.053797,96.306378,6.51,63.682,2108.055,3467.0,1.4,167.3,9.96,1.79,0.05,0.6,0.011,Water Testing Kit,Agency_7,0,High,
Baghmara Rural,Meghalaya,2023-11-20,WS_13533,River,26.180211,90.025286,6.31,45.78,1555.572,882.0,3.2,131.0,23.68,1.41,0.68,0.56,0.046,Lab Analysis,Agency_4,0,High,
Tawang Rural,Arunachal Pradesh,2024-02-08,WS_31950,Tube Well,27.865729,88.009084,6.83,7.001,29.875,33.0,9.0,7.4,0.49,0.03,1.42,0.76,0.043,IoT Sensor,Agency_5,0,Safe,35.0
Shillong Rural,Meghalaya,2024-02-10,WS_90189,Well,26.181075,89.419305,5.3,29.033,1891.526,1164.0,3.1,176.0,19.83,1.55,0.1,0.61,0.045,Water Testing Kit,Agency_9,0,High,17.0
Ziro Village,Arunachal Pradesh,2023-09-06,WS_93129,Piped Supply,28.292753,91.38334,8.49,6.053,24.227,18.0,5.5,36.6,2.3,0.045,0.68,1.07,0.036,IoT Sensor,Agency_2,0,Safe,
Gyalshing Rural,Sikkim,2024-02-23,WS_40500,River,26.637618,93.348385,7.77,2.231,25.671,68.0,5.5,39.8,1.21,0.023,1.4,0.77,0.027,Lab Analysis,Agency_1,1,Safe,
Saitual Rural,Mizoram,2024-02-16,WS_97448,Well,27.448385,90.770516,8.47,6.406,55.141,89.0,7.2,25.1,2.72,0.044,0.24,1.08,0.045,Water Testing Kit,Agency_9,0,Safe,96.0
Lawngtlai Village,Mizoram,2023-08-03,WS_35059,Tube Well,24.441767,95.250708,6.35,40.647,811.935,3441.0,1.3,130.1,21.32,1.04,1.88,1.13,0.002,IoT Sensor,Agency_3,0,High,99.0
Dibrugarh Rural,Assam,2024-02-23,WS_52759,Tube Well,24.498435,92.432757,7.56,0.356,56.199,75.0,5.7,18.5,1.89,0.009,1.39,0.84,0.011,Water Testing Kit,Agency_5,1,Safe,24.0
Churachandpur Village,Manipur,2023-02-20,WS_33742,Well,27.032724,89.049986,8.04,2.651,9.536,41.0,8.9,0.5,1.51,0.033,1.53,0.94,0.049,Lab Analysis,Agency_3,1,Safe,82.0
Pasighat Rural,Arunachal Pradesh,2023-04-23,WS_22083,Pond,27.302026,88.011308,7.12,5.376,18.32,11.0,6.2,21.2,0.89,0.031,0.0,0.2,0.024,Lab Analysis,Agency_8,1,Safe,
Gangtok Rural,Sikkim,2023-03-12,WS_41598,River,24.402745,92.716812,5.3,103.12,1733.907,3505.0,3.0,69.2,5.08,0.94,0.52,1.49,0.036,Water Testing Kit,Agency_1,0,High,
Phek Rural,Nagaland,2023-09-13,WS_94598,Well,28.434387,95.463962,5.52,44.423,1936.16,3242.0,2.7,123.0,10.16,0.22,1.24,0.68,0.023,Water Testing Kit,Agency_8,0,High,22.0
Saitual Rural,Mizoram,2023-10-15,WS_65169,River,25.561375,93.653764,5.9,114.204,1795.82,4117.0,2.2,60.9,15.29,1.82,0.56,0.13,0.026,IoT Sensor,Agency_9,0,High,
Kolasib Rural,Mizoram,2023-11-07,WS_87562,Pond,25.42833,90.692035,5.3,100.834,2332.095,2267.0,2.0,108.1,9.67,0.43,0.45,0.09,0.002,Water Testing Kit,Agency_2,0,High,
Dibrugarh Rural,Assam,2023-06-24,WS_15296,River,24.650274,88.721256,7.36,9.698,56.247,35.0,8.9,13.6,1.73,0.035,0.81,1.31,0.024,IoT Sensor,Agency_5,0,Safe,
Nongpoh Village,Meghalaya,2024-01-24,WS_17930,Pond,28.515934,91.631187,6.75,5.004,54.838,2.0,5.3,40.9,2.21,0.027,1.28,1.24,0.023,Water Testing Kit,Agency_5,1,Safe,
Dharmanagar Rural,Tripura,2023-09-09,WS_39457,River,28.303922,88.727847,5.78,35.816,569.206,2347.0,3.9,183.8,21.53,1.72,1.99,0.83,0.027,Water Testing Kit,Agency_4,0,High,
Pakyong Village,Sikkim,2023-10-14,WS_17550,Piped Supply,27.558331,92.6676,7.76,3.154,26.34,95.0,7.1,17.9,2.12,0.004,1.44,1.41,0.027,IoT Sensor,Agency_6,1,Safe,
Singtam Village,Sikkim,2023-05-29,WS_34115,River,25.421154,90.457381,7.24,7.755,57.254,14.0,5.2,14.4,2.14,0.025,0.19,0.56,0.034,Water Testing Kit,Agency_8,0,Safe,
Jorethang Rural,Sikkim,2023-06-02,WS_68577,Well,24.076989,95.979807,7.18,2.521,41.176,56.0,7.3,7.7,2.04,0.015,1.0,0.27,0.041,IoT Sensor,Agency_9,1,Safe,148.0
Mangan Village,Sikkim,2023-01-23,WS_22892,Piped Supply,24.382952,89.084818,7.85,8.344,18.645,19.0,5.8,18.0,0.16,0.024,1.92,0.11,0.038,Water Testing Kit,Agency_1,0,Safe,
Bomdila Rural,Arunachal Pradesh,2023-05-14,WS_56595,Pond,25.976934,90.80704,8.38,2.487,57.621,3.0,6.8,28.5,0.87,0.034,0.57,0.75,0.0,Lab Analysis,Agency_9,1,Safe,
Serchhip Village,Mizoram,2023-06-07,WS_56411,Pond,23.345839,95.540162,5.3,99.155,1910.754,2340.0,3.1,72.8,20.05,1.0,0.67,0.63,0.001,Water Testing Kit,Agency_4,0,High,
Imphal Rural,Manipur,2023-05-03,WS_82809,Tube Well,24.008728,91.576407,7.26,3.247,12.953,52.0,6.5,0.7,1.18,0.003,0.68,0.59,0.033,Water Testing Kit,Agency_9,1,Safe,159.0
Dibrugarh Rural,Assam,2023-01-30,WS_26976,Pond,28.832331,88.584583,5.3,85.096,1940.635,3251.0,3.1,85.4,24.3,0.53,1.55,0.16,0.039,IoT Sensor,Agency_7,0,High,
Kailashahar Village,Tripura,2024-02-04,WS_62560,Spring,26.991294,89.701645,7.4,2.415,31.464,83.0,6.0,6.3,2.25,0.035,0.48,1.39,0.0,Lab Analysis,Agency_6,1,Safe,
Kailashahar Village,Tripura,2023-03-09,WS_69481,Tube Well,27.417502,89.197624,7.21,6.133,30.528,54.0,5.8,3.0,0.77,0.016,0.57,0.13,0.031,Water Testing Kit,Agency_4,0,Safe,176.0
Serchhip Village,Mizoram,2023-04-13,WS_56411,Pond,23.345839,95.540162,5.3,121.226,2395.472,2340.0,3.1,72.8,20.05,1.0,0.67,0.63,0.001,Water Testing Kit,Agency_4,0,High,
Tuensang Village,Nagaland,2023-09-04,WS_82261,River,23.397461,93.929165,7.01,0.391,23.67,15.0,8.9,41.6,0.43,0.017,1.33,1.11,0.011,Water Testing Kit,Agency_9,1,Safe,
Ziro Village,Arunachal Pradesh,2023-05-12,WS_75816,Tube Well,24.081723,89.882517,7.42,5.076,46.197,30.0,8.8,13.8,2.63,0.001,0.84,0.47,0.002,Lab Analysis,Agency_7,1,Safe,107.0
Teliamura Rural,Tripura,2023-07-14,WS_31574,River,26.16084,94.314322,7.92,6.88,15.885,36.0,8.4,1.0,2.34,0.02,1.61,1.04,0.023,Water Testing Kit,Agency_8,0,Safe,
Jowai Rural,Meghalaya,2023-09-13,WS_74256,Well,23.932473,96.892622,5.3,39.97,456.556,4033.0,1.7,127.4,20.12,1.39,0.89,0.81,0.013,IoT Sensor,Agency_8,0,High,139.0
Phek Rural,Nagaland,2023-12-14,WS_84086,Well,23.589385,94.501393,5.74,28.655,903.29,2104.0,1.7,156.3,14.38,1.9,0.46,1.15,0.045,IoT Sensor,Agency_3,0,High,156.0
Shillong Rural,Meghalaya,2023-08-24,WS_31133,Piped Supply,28.922875,91.510046,7.52,1.004,56.905,66.0,6.4,23.6,2.62,0.002,1.73,0.6,0.033,Lab Analysis,Agency_9,1,Safe,
Tura Village,Meghalaya,2024-01-19,WS_10092,Tube Well,27.287319,88.615631,5.52,87.241,1812.098,986.0,3.9,151.5,12.43,0.77,1.31,1.2,0.045,Water Testing Kit,Agency_9,0,High,84.0
Tuensang Village,Nagaland,2023-09-19,WS_65558,Well,27.64381,95.33029,6.66,28.156,521.6,1018.0,2.8,123.9,19.47,0.75,1.43,0.61,0.031,IoT Sensor,Agency_7,0,High,17.0
Jiribam Village,Manipur,2023-11-12,WS_83316,Well,28.871003,94.236744,7.62,0.93,6.16,1.0,6.2,33.1,2.0,0.05,0.75,0.37,0.011,Water Testing Kit,Agency_3,1,Safe,54.0
Roing Village,Arunachal Pradesh,2023-11-14,WS_49084,Well,26.710521,90.011458,5.46,42.263,1479.898,1472.0,1.5,137.2,20.22,0.24,1.14,0.46,0.026,Water Testing Kit,Agency_2,0,High,45.0
Serchhip Village,Mizoram,2023-09-21,WS_64811,Well,25.939028,88.276025,7.09,7.129,16.773,0.0,8.9,23.0,0.24,0.005,1.48,1.39,0.05,Water Testing Kit,Agency_7,0,Safe,158.0
Ukhrul Village,Manipur,2023-09-09,WS_26417,Spring,25.686185,92.715089,6.83,3.79,31.678,79.0,7.7,24.4,1.34,0.013,0.68,0.73,0.038,Water Testing Kit,Agency_6,1,Safe,
Belonia Rural,Tripura,2023-05-30,WS_33607,Well,25.592626,96.828772,7.67,6.899,62.94,54.0,6.2,35.7,2.79,0.012,0.04,1.22,0.005,Water Testing Kit,Agency_8,0,Safe,104.0
Saitual Rural,Mizoram,2024-01-02,WS_13988,River,24.709516,90.174676,7.46,6.066,5.809,98.0,5.3,28.6,0.07,0.026,0.27,0.87,0.044,IoT Sensor,Agency_2,0,Safe,
Gyalshing Rural,Sikkim,2023-07-31,WS_80665,Well,23.19704,93.046529,6.14,78.149,363.531,2870.0,1.8,164.2,21.28,1.06,1.02,0.32,0.027,Water Testing Kit,Agency_1,0,High,148.0
Roing Village,Arunachal Pradesh,2023-06-14,WS_36542,Pond,23.354178,94.626273,6.98,6.628,41.29,49.0,5.5,37.6,1.7,0.027,1.01,1.17,0.043,Lab Analysis,Agency_7,0,Safe,
Dimapur Village,Nagaland,2023-11-28,WS_74178,Piped Supply,26.785226,94.561176,6.64,6.843,46.415,10.0,6.7,24.8,2.42,0.032,1.37,1.27,0.045,Water Testing Kit,Agency_5,0,Safe,
Resubelpara Rural,Meghalaya,2023-10-31,WS_33261,Well,26.529257,91.528288,6.67,0.664,0.0,61.0,7.5,11.9,0.84,0.017,0.59,1.24,0.005,IoT Sensor,Agency_7,1,Safe,158.0
Tuensang Village,Nagaland,2023-08-15,WS_40474,Well,23.97489,92.957448,6.09,52.651,236.891,3383.0,3.0,84.1,13.21,1.19,0.36,0.31,0.024,Water Testing Kit,Agency_7,0,High,26.0
Serchhip Village,Mizoram,2024-01-19,WS_71178,Well,24.717953,93.701603,8.08,6.932,23.558,66.0,5.3,32.3,0.75,0.047,0.19,0.08,0.035,IoT Sensor,Agency_2,0,Safe,193.0
Singtam Village,Sikkim,2023-02-07,WS_24204,River,25.026221,88.763439,6.87,3.337,69.646,6.0,8.1,32.3,2.71,0.005,0.1,1.45,0.036,Lab Analysis,Agency_5,1,Safe,
Namchi Village,Sikkim,2023-06-13,WS_77010,Well,24.400224,89.500812,5.3,73.186,326.032,2000.0,3.7,181.4,11.22,0.53,0.42,0.32,0.031,Water Testing Kit,Agency_3,0,High,30.0
Lawngtlai Village,Mizoram,2023-12-13,WS_15890,Tube Well,28.555566,94.508142,8.12,6.958,23.295,74.0,7.6,14.0,1.61,0.023,0.11,0.32,0.016,IoT Sensor,Agency_5,0,Safe,90.0
Gyalshing Rural,Sikkim,2024-01-01,WS_34438,River,28.318805,90.0246,7.64,2.822,5.649,73.0,6.2,11.1,2.07,0.022,1.63,1.47,0.039,IoT Sensor,Agency_7,1,Safe,
Roing Village,Arunachal Pradesh,2023-12-01,WS_52147,Piped Supply,23.975314,89.361587,8.06,6.002,32.018,14.0,8.7,28.1,1.32,0.022,0.43,1.36,0.018,Water Testing Kit,Agency_4,0,Safe,
Thoubal Village,Manipur,2023-03-30,WS_77232,Well,28.904845,88.593612,8.47,7.465,49.367,2.0,8.6,41.0,1.99,0.015,1.31,0.42,0.004,Water Testing Kit,Agency_7,0,Safe,111.0
Williamnagar Village,Meghalaya,2023-04-01,WS_23785,Piped Supply,26.320746,94.355926,6.89,7.836,2.631,30.0,7.5,44.1,2.97,0.022,0.4,1.12,0.018,Water Testing Kit,Agency_5,0,Safe,
Khowai Village,Tripura,2023-11-28,WS_77652,Spring,24.773152,94.168573,7.5,6.549,52.181,97.0,7.2,34.0,0.58,0.008,0.2,0.4,0.008,Water Testing Kit,Agency_4,0,Safe,
Mokokchung Rural,Nagaland,2023-07-28,WS_68028,River,25.808965,93.951473,6.3,73.511,1431.793,2068.0,3.1,175.0,14.9,1.14,1.86,0.21,0.026,IoT Sensor,Agency_1,0,High,
Senapati Rural,Manipur,2024-02-15,WS_74461,River,24.544227,88.775815,7.68,5.512,61.601,10.0,6.9,27.6,0.35,0.029,1.41,0.22,0.039,Water Testing Kit,Agency_9,0,Safe,
Singtam Village,Sikkim,2023-12-18,WS_72107,Tube Well,24.587361,96.161102,5.99,21.56,1073.12,2372.0,2.7,185.6,23.0,1.66,0.31,1.38,0.028,Lab Analysis,Agency_2,0,High,66.0
Imphal Rural,Manipur,2023-04-05,WS_48693,Piped Supply,24.49337,96.847425,6.7,8.447,15.872,89.0,8.7,22.1,1.24,0.014,1.69,0.03,0.021,Lab Analysis,Agency_4,0,Safe,
Roing Village,Arunachal Pradesh,2023-09-29,WS_24539,Piped Supply,27.407903,89.749345,7.51,9.677,44.016,84.0,6.4,13.2,0.77,0.025,1.25,0.89,0.03,Water Testing Kit,Agency_4,0,Safe,
Wokha Rural,Nagaland,2023-12-03,WS_17119,River,25.236591,90.260606,7.68,2.847,32.936,49.0,6.1,27.9,1.89,0.005,1.4,1.13,0.002,IoT Sensor,Agency_7,1,Safe,
Nongpoh Village,Meghalaya,2023-06-24,WS_32470,Well,23.224024,93.435547,7.65,6.278,21.065,65.0,5.1,16.7,1.89,0.01,1.16,1.17,0.035,Water Testing Kit,Agency_8,0,Safe,172.0
Lunglei Village,Mizoram,2024-02-02,WS_86892,Well,28.850284,90.973225,7.83,1.884,58.816,90.0,7.8,22.4,2.32,0.019,0.99,1.33,0.004,Water Testing Kit,Agency_8,1,Safe,187.0
Tuensang Village,Nagaland,2023-09-13,WS_64780,Pond,26.016636,89.565544,7.54,0.232,22.423,59.0,7.6,4.3,1.49,0.022,1.35,1.33,0.008,IoT Sensor,Agency_1,1,Safe,
Roing Village,Arunachal Pradesh,2023-09-07,WS_40375,Tube Well,26.449332,96.37401,6.26,65.862,2809.814,4409.0,2.2,188.3,17.65,1.0,0.28,1.29,0.013,Water Testing Kit,Agency_7,0,High,30.0
Dimapur Village,Nagaland,2023-12-09,WS_82343,Well,27.239741,90.541392,7.82,2.176,34.336,66.0,6.1,21.0,2.44,0.027,0.05,1.28,0.001,IoT Sensor,Agency_3,1,Safe,184.0
Silchar Village,Assam,2024-01-21,WS_97781,River,25.108588,92.44949,5.61,36.242,287.039,1323.0,2.1,147.0,14.99,1.5,0.43,0.24,0.015,Water Testing Kit,Agency_1,0,High,
Belonia Rural,Tripura,2024-02-17,WS_25871,Well,26.478777,92.056261,8.08,0.123,10.417,33.0,5.8,24.8,0.12,0.041,1.13,0.11,0.019,Water Testing Kit,Agency_7,1,Safe,156.0
Tawang Rural,Arunachal Pradesh,2023-07-24,WS_27304,Piped Supply,27.508513,96.230152,6.25,51.509,619.222,2156.0,3.1,91.3,8.47,1.5,1.83,1.15,0.046,Lab Analysis,Agency_2,0,High,
Dibrugarh Rural,Assam,2024-01-14,WS_29158,Pond,23.711643,90.449805,5.3,27.007,2443.766,4176.0,2.7,135.7,15.08,0.53,1.51,0.34,0.027,Water Testing Kit,Agency_8,0,High,
Tuensang Village,Nagaland,2023-08-09,WS_76285,Well,27.146203,88.584604,7.54,9.048,8.996,23.0,7.6,43.6,2.2,0.006,1.78,0.63,0.009,Water Testing Kit,Agency_4,0,Safe,120.0
Nagaon Rural,Assam,2023-08-27,WS_24113,Piped Supply,26.35993,89.687262,7.88,5.045,56.974,54.0,6.4,31.7,1.56,0.049,1.11,0.3,0.04,Lab Analysis,Agency_2,1,Safe,
Belonia Rural,Tripura,2024-01-26,WS_50258,Well,27.065478,96.546599,6.81,1.906,28.058,97.0,8.9,21.5,2.41,0.028,0.4,1.12,0.011,Water Testing Kit,Agency_8,1,Safe,15.0
Dimapur Village,Nagaland,2023-11-20,WS_12420,Tube Well,24.43325,95.44818,6.97,3.116,33.729,10.0,7.8,12.1,0.45,0.003,0.79,0.71,0.031,Water Testing Kit,Agency_1,1,Safe,122.0
Naharlagun Village,Arunachal Pradesh,2023-11-03,WS_46136,Well,28.140438,91.278163,8.33,8.129,49.59,94.0,8.7,44.1,1.24,0.014,0.39,0.63,0.04,Water Testing Kit,Agency_6,0,Safe,163.0
Williamnagar Village,Meghalaya,2023-08-26,WS_46661,River,23.363994,93.347401,5.3,18.804,2045.258,339.0,1.1,94.7,17.65,0.78,0.72,1.3,0.011,IoT Sensor,Agency_5,0,High,
Dibrugarh Rural,Assam,2024-03-11,WS_52759,Tube Well,24.498435,92.432757,7.62,0.38,59.633,75.0,5.7,18.5,1.89,0.009,1.39,0.84,0.011,Water Testing Kit,Agency_5,1,Safe,24.0
Baghmara Rural,Meghalaya,2023-10-04,WS_70356,River,24.825596,89.444997,6.21,52.643,2119.29,1546.0,2.0,78.8,8.21,1.77,0.36,0.38,0.033,IoT Sensor,Agency_4,0,High,
Jorhat Village,Assam,2023-09-28,WS_52594,Piped Supply,26.274542,95.393843,7.74,0.636,60.515,21.0,7.5,29.1,2.41,0.025,0.41,1.27,0.018,IoT Sensor,Agency_9,1,Safe,
Jiribam Village,Manipur,2023-07-15,WS_75225,Pond,23.489374,93.528472,6.9,1.031,19.776,88.0,6.2,18.8,0.93,0.049,0.84,0.29,0.012,Lab Analysis,Agency_1,1,Safe,
Barpeta Village,Assam,2023-06-01,WS_81963,Well,28.991773,90.137074,7.27,3.424,0.0,4.0,7.8,21.6,2.55,0.038,1.08,0.45,0.043,Water Testing Kit,Agency_9,1,Safe,79.0
Nongpoh Village,Meghalaya,2023-08-16,WS_56824,Spring,24.068004,93.473918,7.23,8.597,59.292,69.0,7.7,15.5,0.73,0.031,1.22,0.47,0.031,IoT Sensor,Agency_9,0,Safe,
Tuensang Village,Nagaland,2023-04-06,WS_97149,River,25.745227,96.845181,6.04,107.911,1408.589,1713.0,1.7,199.7,22.01,0.63,1.98,1.16,0.042,IoT Sensor,Agency_1,0,High,
Jowai Rural,Meghalaya,2023-06-04,WS_88822,Well,26.596886,94.056075,7.62,1.53,6.985,56.0,5.2,7.4,2.85,0.037,0.04,0.57,0.027,Water Testing Kit,Agency_4,1,Safe,172.0
Ziro Village,Arunachal Pradesh,2023-08-15,WS_66072,River,26.832415,94.697285,8.31,0.881,55.567,28.0,7.2,35.3,1.64,0.006,1.3,1.06,0.018,Water Testing Kit,Agency_3,1,Safe,
Agartala Rural,Tripura,2023-04-14,WS_78614,River,28.528971,93.373328,8.1,8.705,22.741,91.0,6.8,23.0,1.56,0.003,1.76,0.13,0.011,IoT Sensor,Agency_5,0,Safe,
Kiphire Village,Nagaland,2023-04-23,WS_46174,Pond,27.328926,89.07743,6.45,0.361,28.266,15.0,7.2,0.4,1.38,0.015,0.92,1.29,0.025,IoT Sensor,Agency_9,1,Safe,
Nagaon Rural,Assam,2023-09-15,WS_89581,Pond,23.93769,91.336683,7.31,9.837,19.075,73.0,5.1,26.9,0.9,0.006,0.89,1.36,0.017,Water Testing Kit,Agency_6,0,Safe,
Kailashahar Village,Tripura,2023-02-10,WS_39743,Piped Supply,26.089216,89.650094,8.19,3.048,42.853,55.0,8.3,37.5,0.2,0.015,1.11,0.4,0.041,Lab Analysis,Agency_2,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-03-13,WS_10085,Piped Supply,26.543329,95.701038,8.9,5.38,31.076,84.0,6.5,14.2,1.51,0.029,1.91,0.19,0.028,IoT Sensor,Agency_2,1,Safe,
Imphal Rural,Manipur,2023-12-09,WS_91665,River,23.668165,94.616917,6.08,28.037,188.712,929.0,2.9,67.6,23.41,1.39,0.94,0.43,0.009,Water Testing Kit,Agency_4,0,High,
Nongpoh Village,Meghalaya,2023-07-30,WS_35793,Well,26.379906,94.753115,6.94,8.21,52.057,82.0,6.9,13.1,1.25,0.034,1.85,0.88,0.033,Water Testing Kit,Agency_4,0,Safe,171.0
Rangpo Rural,Sikkim,2023-05-09,WS_38857,Well,24.919821,92.070733,8.08,3.591,51.247,53.0,5.5,23.9,1.73,0.048,1.35,1.33,0.039,Water Testing Kit,Agency_6,1,Safe,109.0
Jorhat Village,Assam,2023-10-24,WS_61350,Piped Supply,27.741719,96.710454,7.38,4.353,6.975,83.0,6.7,44.5,0.9,0.022,1.04,0.23,0.016,Water Testing Kit,Agency_6,1,Safe,
Jorethang Rural,Sikkim,2023-12-21,WS_86763,Pond,28.227779,89.176277,8.62,3.811,34.0,32.0,7.8,5.9,2.26,0.039,0.6,0.25,0.011,IoT Sensor,Agency_2,1,Safe,
Dibrugarh Rural,Assam,2023-08-20,WS_89985,Tube Well,27.022808,93.982986,7.21,1.211,69.795,26.0,5.4,9.2,1.71,0.017,0.03,1.13,0.012,IoT Sensor,Agency_5,1,Safe,108.0
Tezpur Rural,Assam,2023-08-04,WS_51165,Well,23.363978,90.159969,6.6,2.968,67.964,84.0,7.8,1.2,0.8,0.028,1.9,0.22,0.003,Water Testing Kit,Agency_5,1,Safe,32.0
Kiphire Village,Nagaland,2023-04-09,WS_12716,Piped Supply,27.009287,91.614144,7.85,2.717,46.902,70.0,6.7,43.6,0.0,0.034,1.97,0.98,0.046,Lab Analysis,Agency_5,1,Safe,
Dharmanagar Rural,Tripura,2023-06-27,WS_83647,Well,26.524179,96.930839,5.3,30.89,188.689,3788.0,3.7,156.6,8.77,1.25,1.13,1.21,0.007,Water Testing Kit,Agency_1,0,High,93.0
Saitual Rural,Mizoram,2023-10-24,WS_23008,River,25.337195,88.337248,5.71,35.009,944.822,4981.0,1.2,105.8,9.24,0.64,0.17,1.31,0.04,Water Testing Kit,Agency_2,0,High,
Zunheboto Village,Nagaland,2023-11-01,WS_26942,Well,24.494199,96.371928,8.0,8.311,41.828,65.0,6.0,28.2,1.26,0.008,1.62,0.42,0.048,IoT Sensor,Agency_4,0,Safe,193.0
Bomdila Rural,Arunachal Pradesh,2024-02-01,WS_61814,Well,28.905674,92.799232,7.17,6.121,45.689,96.0,8.6,26.9,0.42,0.042,0.15,0.34,0.008,Lab Analysis,Agency_5,0,Safe,159.0
Kiphire Village,Nagaland,2023-11-14,WS_11760,Well,28.330229,89.325329,7.32,2.992,13.692,96.0,6.9,20.6,2.54,0.019,0.82,0.73,0.045,Lab Analysis,Agency_4,1,Safe,116.0
Tamenglong Rural,Manipur,2024-02-27,WS_37926,River,23.708417,90.009394,8.52,0.211,30.326,100.0,5.5,5.6,0.26,0.025,1.21,0.77,0.025,IoT Sensor,Agency_1,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-10-02,WS_84448,Well,26.258168,88.256338,6.43,3.563,51.203,68.0,7.4,41.9,0.38,0.035,0.14,0.94,0.01,IoT Sensor,Agency_4,1,Safe,181.0
